,Zip Code,Total ,Male ,Male Under 5 years,Male 5 to 9 years,Male 10 to 14 years,Male 15 to 17 years,Male 18 and 19 years,Male 20 years,Male 21 years,Male 22 to 24 years,Male 25 to 29 years,Male 30 to 34 years,Male 35 to 39 years,Male 40 to 44 years,Male 45 to 49 years,Male 50 to 54 years,Male 55 to 59 years,Male 60 and 61 years,Male 62 to 64 years,Male 65 and 66 years,Male 67 to 69 years,Male 70 to 74 years,Male 75 to 79 years,Male 80 to 84 years,Male 85 years and over,Female ,Female Under 5 years,Female 5 to 9 years,Female 10 to 14 years,Female 15 to 17 years,Female 18 and 19 years,Female 20 years,Female 21 years,Female 22 to 24 years,Female 25 to 29 years,Female 30 to 34 years,Female 35 to 39 years,Female 40 to 44 years,Female 45 to 49 years,Female 50 to 54 years,Female 55 to 59 years,Female 60 and 61 years,Female 62 to 64 years,Female 65 and 66 years,Female 67 to 69 years,Female 70 to 74 years,Female 75 to 79 years,Female 80 to 84 years,Female 85 years and over
50,78722,"6,713","3,250",104,120,80,9,58,11,15,94,512,451,305,331,276,126,161,135,139,53,178,49,10,5,28,"3,463",235,157,56,9,11,30,56,112,689,407,311,285,212,59,179,117,118,48,83,78,70,49,92
52,78723,"37,552","19,263","1,376","1,658",800,390,469,128,96,540,"2,162","2,245","2,101","1,673","1,372","1,137",998,410,289,262,296,476,131,94,160,"18,289","1,581","1,125",909,515,142,82,56,561,"2,008","1,722","2,331","1,225",994,752,968,414,439,303,447,819,341,238,317
54,78724,"25,328","13,441","1,624","1,452","1,239",938,329,182,75,706,850,"1,388","1,103",939,708,726,369,70,216,112,225,95,58,34,3,"11,887","1,096",847,"1,368",484,265,338,264,423,873,"1,046","1,229","1,016",623,583,508,73,167,69,225,109,176,54,51
56,78725,"8,303","3,971",241,284,210,172,116,17,24,0,330,441,691,300,81,346,279,71,114,22,62,103,67,0,0,"4,332",271,195,341,143,0,0,62,76,217,391,477,426,112,179,189,138,482,277,59,119,87,75,16
58,78726,"13,304","7,020",531,447,405,222,207,95,76,305,"1,071",690,188,485,674,658,380,98,112,12,41,209,77,37,0,"6,284",197,401,540,489,150,9,77,164,826,289,395,643,384,560,258,43,249,25,165,158,45,166,51
60,78727,"31,856","16,524","1,194",942,595,390,195,52,132,592,"2,328","2,211","1,337","1,300",913,"1,246",798,408,583,233,322,318,189,109,137,"15,332","1,111",836,400,232,158,64,36,353,"2,083","1,548","1,456","1,267","1,078",839,"1,243",474,554,315,295,408,190,178,214
62,78728,"21,857","10,870",978,528,459,288,138,70,48,340,"1,609","1,053","1,621",910,824,613,478,179,195,60,143,164,77,46,49,"10,987",772,609,684,323,150,185,83,356,"1,111","1,148","1,281",984,646,828,411,227,238,268,76,281,85,64,177
64,78729,"27,707","14,953","1,010",774,506,358,431,86,86,670,"2,292","1,843","1,680",959,"1,235",936,758,131,184,256,220,181,171,176,10,"12,754",894,550,602,301,348,40,144,487,964,"1,305","1,100","1,198","1,215",800,799,324,255,175,251,461,81,203,257
66,78730,"10,527","5,553",187,515,483,107,86,58,0,0,198,390,416,467,850,343,347,119,163,328,234,119,92,51,0,"4,974",406,249,397,244,64,13,0,79,263,474,300,328,529,423,292,96,160,157,96,308,47,33,16
68,78731,"27,664","13,976",690,763,798,273,168,0,146,666,"1,968","1,357",791,870,874,612,757,407,658,257,423,491,285,211,511,"13,688",617,805,478,446,99,49,78,641,"1,032","1,140",881,903,822,729,"1,097",571,577,286,292,645,383,208,909
