"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino","Total:!!Hispanic or Latino"
"ZCTA5 78747","","",""
"    Estimate","20,137","8,906","11,231"
"    Margin of Error","±1,142","±1,016","±1,035"
"ZCTA5 78748","","",""
"    Estimate","52,076","32,767","19,309"
"    Margin of Error","±2,931","±2,306","±2,238"
"ZCTA5 78749","","",""
"    Estimate","38,503","30,379","8,124"
"    Margin of Error","±2,252","±2,056","±1,368"
"ZCTA5 78750","","",""
"    Estimate","33,860","29,028","4,832"
"    Margin of Error","±2,270","±2,331","±872"
"ZCTA5 78751","","",""
"    Estimate","16,138","12,855","3,283"
"    Margin of Error","±1,355","±1,063","±803"
"ZCTA5 78752","","",""
"    Estimate","20,779","10,448","10,331"
"    Margin of Error","±1,980","±1,281","±1,584"
"ZCTA5 78753","","",""
"    Estimate","60,035","27,801","32,234"
"    Margin of Error","±3,164","±2,397","±2,436"
"ZCTA5 78754","","",""
"    Estimate","26,508","15,250","11,258"
"    Margin of Error","±2,497","±1,774","±2,266"
"ZCTA5 78756","","",""
"    Estimate","9,450","7,903","1,547"
"    Margin of Error","±1,124","±832","±472"
"ZCTA5 78757","","",""
"    Estimate","26,485","19,220","7,265"
"    Margin of Error","±2,406","±1,429","±1,862"
"ZCTA5 78758","","",""
"    Estimate","50,575","27,729","22,846"
"    Margin of Error","±3,125","±1,762","±2,301"
"ZCTA5 78759","","",""
"    Estimate","45,901","39,350","6,551"
"    Margin of Error","±2,097","±1,921","±1,059"
"Travis County, Texas","","",""
"    Estimate","1,250,884","830,648","420,236"
"    Margin of Error","*****","*****","*****"
