"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Margin of Error","","±696","±237","±526","±481","±166","±1,598","±364","±456","±1,401","±1,288","±602","±1,083","±552","±1,607","±1,151","±1,243","±1,225","±810","±1,366","±1,321","±660","±901","±900","±779","±745","±726","±239","","±1,486","±1,438","±1,008","±1,286","±1,254","±877","±762","±767","±509","±151","±134","±52","±663","±524","±426","±62","±62","±33","±575","±431","±127","±1,305","±1,307","±494","±1,474","±1,330","±565","","(X)","(X)","(X)","(X)","","±1,954","±4,874","±6,254","±3,553","±1,980","±11,074"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.5%","32.8%","33.8%","16.0%","(X)","3.0%","5.8%","23.8%","21.2%","8.1%","28.0%","10.2%","91.3%","38.1%","(X)","95.7%","40.7%","(X)","87.0%","43.7%","(X)","91.2%","39.1%","(X)","91.4%","17.3%","","(X)","92.8%","40.7%","(X)","96.2%","47.0%","(X)","96.6%","40.2%","(X)","76.3%","21.5%","(X)","80.2%","45.2%","(X)","100.0%","0.0%","(X)","75.0%","13.4%","(X)","98.6%","23.1%","(X)","84.7%","22.7%","","12.7%","6.4%","7.7%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±7.5","±12.3","±11.6","±5.9","(X)","±1.0","±1.3","±3.6","±3.5","±1.7","±3.0","±1.5","±1.5","±3.1","(X)","±2.3","±7.3","(X)","±4.1","±7.7","(X)","±2.5","±4.9","(X)","±4.0","±5.1","","(X)","±1.9","±4.0","(X)","±1.2","±5.2","(X)","±2.4","±9.4","(X)","±29.3","±29.5","(X)","±6.4","±8.5","(X)","±59.0","±59.0","(X)","±7.4","±6.6","(X)","±2.3","±15.4","(X)","±3.9","±5.4","","±5.4","±2.6","±3.6","±1.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48","14","28","6","0","625","6","12","151","164","96","88","108","607","196","23","23","0","52","47","0","388","378","98","162","159","98","","575","560","196","560","553","196","0","0","0","0","0","0","0","0","0","47","47","0","3","0","0","0","0","0","18","7","0","","(X)","(X)","(X)","(X)","","34,938","-","-","-","-","-"
"        Margin of Error","","±48","±23","±35","±13","±14","±214","±8","±14","±117","±127","±77","±86","±109","±214","±125","±21","±21","±14","±58","±56","±14","±177","±175","±83","±105","±105","±96","","±188","±188","±125","±188","±188","±125","±14","±14","±14","±14","±14","±14","±14","±14","±14","±70","±70","±14","±6","±14","±14","±14","±14","±14","±22","±11","±14","","(X)","(X)","(X)","(X)","","±5,785","**","**","**","**","**"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","29.2%","58.3%","12.5%","0.0%","(X)","1.0%","1.9%","24.2%","26.2%","15.4%","14.1%","17.3%","97.1%","31.4%","(X)","100.0%","0.0%","(X)","90.4%","0.0%","(X)","97.4%","25.3%","(X)","98.1%","60.5%","","(X)","97.4%","34.1%","(X)","98.8%","35.0%","(X)","-","-","(X)","-","-","(X)","-","-","(X)","100.0%","0.0%","(X)","0.0%","0.0%","(X)","-","-","(X)","38.9%","0.0%","","0.0%","17.2%","2.3%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±35.9","±51.1","±19.3","±50.4","(X)","±1.3","±2.3","±17.0","±18.0","±11.7","±13.4","±16.3","±2.6","±17.5","(X)","±72.8","±72.8","(X)","±21.9","±48.4","(X)","±2.9","±19.8","(X)","±4.0","±33.8","","(X)","±2.6","±17.9","(X)","±1.9","±18.2","(X)","**","**","(X)","**","**","(X)","**","**","(X)","±50.9","±50.9","(X)","±100.0","±100.0","(X)","**","**","(X)","±25.5","±82.3","","±82.3","±26.3","±4.1","±20.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","25","14","5","6","0","328","1","7","82","72","75","43","48","320","91","3","3","0","14","9","0","235","233","31","76","75","60","","280","273","91","274","272","91","0","0","0","0","0","0","0","0","0","47","47","0","1","0","0","0","0","0","7","1","0","","(X)","(X)","(X)","(X)","","-","-","-","21,144","-","-"
"        Margin of Error","","±35","±23","±11","±13","±14","±130","±2","±10","±71","±70","±73","±46","±57","±130","±67","±5","±5","±14","±19","±13","±14","±123","±123","±37","±61","±61","±60","","±106","±106","±67","±107","±106","±67","±14","±14","±14","±14","±14","±14","±14","±14","±14","±70","±70","±14","±2","±14","±14","±14","±14","±14","±11","±2","±14","","(X)","(X)","(X)","(X)","","**","**","**","±12,923","**","**"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","56.0%","20.0%","24.0%","0.0%","(X)","0.3%","2.1%","25.0%","22.0%","22.9%","13.1%","14.6%","97.6%","27.7%","(X)","100.0%","0.0%","(X)","64.3%","0.0%","(X)","99.1%","13.2%","(X)","98.7%","78.9%","","(X)","97.5%","32.5%","(X)","99.3%","33.2%","(X)","-","-","(X)","-","-","(X)","-","-","(X)","100.0%","0.0%","(X)","0.0%","0.0%","(X)","-","-","(X)","14.3%","0.0%","","0.0%","22.0%","0.0%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±36.5","±45.8","±24.6","±69.8","(X)","±0.7","±2.9","±19.5","±18.6","±21.0","±14.6","±16.9","±3.0","±19.5","(X)","±100.0","±100.0","(X)","±44.3","±93.3","(X)","±1.6","±17.0","(X)","±3.3","±30.7","","(X)","±3.4","±21.6","(X)","±1.4","±22.0","(X)","**","**","(X)","**","**","(X)","**","**","(X)","±50.9","±50.9","(X)","±100.0","±100.0","(X)","**","**","(X)","±43.1","±100.0","","±100.0","±35.4","±25.9","±36.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","23","0","23","0","0","297","5","5","69","92","21","45","60","287","105","20","20","0","38","38","0","153","145","67","86","84","38","","295","287","105","286","281","105","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","11","6","0","","(X)","(X)","(X)","(X)","","36,116","-","-","45,000","-","-"
"        Margin of Error","","±33","±14","±33","±14","±14","±99","±6","±10","±51","±68","±23","±43","±60","±99","±69","±20","±20","±14","±54","±54","±14","±74","±72","±58","±57","±57","±43","","±98","±99","±69","±98","±98","±69","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±4","±14","±14","±14","±14","±14","±13","±11","±14","","(X)","(X)","(X)","(X)","","±15,363","**","**","±22,731","**","**"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","0.0%","100.0%","0.0%","0.0%","(X)","1.7%","1.7%","23.2%","31.0%","7.1%","15.2%","20.2%","96.6%","35.4%","(X)","100.0%","0.0%","(X)","100.0%","0.0%","(X)","94.8%","43.8%","(X)","97.7%","44.2%","","(X)","97.3%","35.6%","(X)","98.3%","36.7%","(X)","-","-","(X)","-","-","(X)","-","-","(X)","-","-","(X)","0.0%","0.0%","(X)","-","-","(X)","54.5%","0.0%","","0.0%","11.6%","5.3%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±72.8","±72.8","±72.8","±72.8","(X)","±2.1","±3.6","±15.7","±19.6","±8.0","±13.3","±18.9","±4.0","±19.8","(X)","±78.0","±78.0","(X)","±56.6","±56.6","(X)","±6.9","±30.1","(X)","±5.2","±36.1","","(X)","±3.8","±19.9","(X)","±3.7","±20.4","(X)","**","**","(X)","**","**","(X)","**","**","(X)","**","**","(X)","±100.0","±100.0","(X)","**","**","(X)","±54.5","±100.0","","±100.0","±22.4","±8.2","±33.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,242","1,091","2,422","2,014","715","42,287","2,198","2,059","9,877","10,916","3,948","9,124","4,165","38,030","13,289","10,916","10,184","3,761","10,530","9,818","3,288","15,794","13,858","4,611","5,047","4,170","1,629","","30,066","26,896","9,417","20,563","19,806","7,687","5,141","4,885","1,399","10","10","0","2,781","2,548","1,893","0","0","0","1,401","1,240","109","2,888","2,451","471","12,933","9,922","2,050","","(X)","(X)","(X)","(X)","","42,851","26,220","35,799","43,672","55,742","73,160"
"        Margin of Error","","±681","±386","±495","±398","±344","±1,777","±658","±487","±1,025","±1,328","±863","±899","±692","±1,830","±1,265","±1,028","±988","±657","±1,055","±1,057","±508","±1,183","±1,133","±606","±806","±764","±432","","±1,715","±1,558","±907","±1,723","±1,606","±848","±1,029","±988","±443","±16","±16","±33","±739","±695","±592","±33","±33","±33","±608","±538","±84","±770","±590","±173","±1,519","±1,171","±496","","(X)","(X)","(X)","(X)","","±2,126","±1,090","±5,514","±5,031","±5,029","±6,190"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.5%","38.8%","32.3%","11.5%","(X)","5.2%","4.9%","23.4%","25.8%","9.3%","21.6%","9.8%","89.9%","31.4%","(X)","93.3%","34.5%","(X)","93.2%","31.2%","(X)","87.7%","29.2%","(X)","82.6%","32.3%","","(X)","89.5%","31.3%","(X)","96.3%","37.4%","(X)","95.0%","27.2%","(X)","100.0%","0.0%","(X)","91.6%","68.1%","(X)","-","-","(X)","88.5%","7.8%","(X)","84.9%","16.3%","(X)","76.7%","15.9%","","13.7%","6.7%","6.3%","3.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±5.7","±7.2","±5.8","±5.1","(X)","±1.6","±1.1","±2.2","±2.8","±2.0","±2.1","±1.5","±1.9","±2.8","(X)","±2.5","±5.4","(X)","±2.8","±4.5","(X)","±3.6","±3.9","(X)","±4.8","±6.4","","(X)","±2.4","±2.7","(X)","±1.7","±3.9","(X)","±2.1","±8.5","(X)","±100.0","±100.0","(X)","±5.0","±10.5","(X)","**","**","(X)","±5.6","±7.0","(X)","±13.3","±7.6","(X)","±4.8","±4.1","","±6.8","±2.7","±2.6","±1.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,883","658","1,792","1,089","344","20,470","1,066","879","4,959","5,492","1,971","4,358","1,745","18,525","6,103","5,655","5,195","1,603","5,366","4,955","1,394","7,152","6,339","2,212","2,297","2,036","894","","15,528","13,869","4,588","10,735","10,374","3,904","2,003","1,925","382","0","0","0","1,172","1,095","871","0","0","0","616","557","9","1,151","1,079","253","6,126","4,697","799","","(X)","(X)","(X)","(X)","","50,671","28,649","40,908","50,875","68,353","82,664"
"        Margin of Error","","±545","±276","±444","±262","±166","±1,194","±385","±237","±734","±794","±758","±606","±328","±1,071","±686","±757","±709","±371","±797","±766","±343","±717","±585","±400","±471","±465","±288","","±1,124","±994","±544","±1,065","±1,033","±504","±694","±686","±166","±33","±33","±33","±361","±322","±283","±33","±33","±33","±357","±349","±13","±336","±332","±122","±903","±739","±265","","(X)","(X)","(X)","(X)","","±3,244","±3,325","±1,900","±5,292","±8,608","±11,952"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.9%","46.1%","28.0%","8.9%","(X)","5.2%","4.3%","24.2%","26.8%","9.6%","21.3%","8.5%","90.5%","29.8%","(X)","91.9%","28.3%","(X)","92.3%","26.0%","(X)","88.6%","30.9%","(X)","88.6%","38.9%","","(X)","89.3%","29.5%","(X)","96.6%","36.4%","(X)","96.1%","19.1%","(X)","-","-","(X)","93.4%","74.3%","(X)","-","-","(X)","90.4%","1.5%","(X)","93.7%","22.0%","(X)","76.7%","13.0%","","11.8%","4.8%","5.0%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±6.5","±8.6","±6.2","±4.3","(X)","±1.8","±1.1","±3.2","±3.6","±3.6","±2.9","±1.7","±2.1","±3.4","(X)","±4.1","±6.1","(X)","±4.1","±6.7","(X)","±3.3","±5.4","(X)","±5.6","±9.6","","(X)","±2.8","±3.6","(X)","±1.4","±4.5","(X)","±4.1","±9.6","(X)","**","**","(X)","±7.2","±12.0","(X)","**","**","(X)","±9.9","±2.4","(X)","±10.8","±11.7","(X)","±5.9","±4.7","","±7.9","±2.7","±3.5","±2.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,359","433","630","925","371","21,817","1,132","1,180","4,918","5,424","1,977","4,766","2,420","19,505","7,186","5,261","4,989","2,158","5,164","4,863","1,894","8,642","7,519","2,399","2,750","2,134","735","","14,538","13,027","4,829","9,828","9,432","3,783","3,138","2,960","1,017","10","10","0","1,609","1,453","1,022","0","0","0","785","683","100","1,737","1,372","218","6,807","5,225","1,251","","(X)","(X)","(X)","(X)","","37,556","25,162","31,052","37,046","44,560","62,492"
"        Margin of Error","","±433","±216","±199","±304","±244","±1,254","±450","±429","±685","±880","±374","±570","±588","±1,350","±880","±721","±690","±543","±683","±683","±363","±753","±753","±374","±485","±446","±224","","±952","±882","±616","±907","±816","±523","±764","±729","±362","±16","±16","±33","±565","±559","±472","±33","±33","±33","±334","±281","±84","±560","±368","±126","±861","±679","±383","","(X)","(X)","(X)","(X)","","±3,554","±17,774","±2,989","±6,257","±5,514","±16,004"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","18.4%","26.7%","39.2%","15.7%","(X)","5.2%","5.4%","22.5%","24.9%","9.1%","21.8%","11.1%","89.4%","32.9%","(X)","94.8%","41.0%","(X)","94.2%","36.7%","(X)","87.0%","27.8%","(X)","77.6%","26.7%","","(X)","89.6%","33.2%","(X)","96.0%","38.5%","(X)","94.3%","32.4%","(X)","100.0%","0.0%","(X)","90.3%","63.5%","(X)","-","-","(X)","87.0%","12.7%","(X)","79.0%","12.6%","(X)","76.8%","18.4%","","15.2%","8.5%","7.7%","2.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±8.3","±8.6","±11.2","±8.9","(X)","±2.1","±1.9","±2.9","±3.6","±1.6","±2.6","±2.4","±2.4","±3.5","(X)","±3.1","±7.5","(X)","±2.6","±6.3","(X)","±5.0","±4.5","(X)","±6.9","±6.6","","(X)","±3.2","±3.7","(X)","±3.1","±4.9","(X)","±3.1","±10.4","(X)","±100.0","±100.0","(X)","±7.0","±13.4","(X)","**","**","(X)","±8.1","±10.8","(X)","±14.9","±7.6","(X)","±5.7","±5.3","","±7.5","±4.2","±3.5","±1.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","446","79","111","154","102","10,266","52","323","1,318","1,812","693","3,493","2,575","9,891","6,068","1,318","1,244","854","1,976","1,962","1,402","4,547","4,322","2,654","2,425","2,363","1,158","","8,899","8,633","5,057","8,426","8,175","4,805","434","325","226","5","5","0","707","707","658","0","0","0","32","32","32","189","189","95","757","742","352","","(X)","(X)","(X)","(X)","","68,394","-","32,639","57,779","77,270","90,447"
"        Margin of Error","","±158","±89","±65","±108","±70","±930","±88","±219","±401","±347","±163","±342","±468","±806","±579","±409","±386","±300","±365","±364","±296","±691","±594","±440","±374","±359","±235","","±775","±692","±442","±751","±668","±425","±464","±312","±287","±14","±14","±22","±252","±252","±240","±22","±22","±22","±34","±34","±34","±131","±131","±83","±239","±237","±152","","(X)","(X)","(X)","(X)","","±6,575","**","±14,379","±9,051","±16,635","±24,289"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.7%","24.9%","34.5%","22.9%","(X)","0.5%","3.1%","12.8%","17.7%","6.8%","34.0%","25.1%","96.3%","59.1%","(X)","94.4%","64.8%","(X)","99.3%","71.0%","(X)","95.1%","58.4%","(X)","97.4%","47.8%","","(X)","97.0%","56.8%","(X)","97.0%","57.0%","(X)","74.9%","52.1%","(X)","100.0%","0.0%","(X)","100.0%","93.1%","(X)","-","-","(X)","100.0%","100.0%","(X)","100.0%","50.3%","(X)","98.0%","46.5%","","15.2%","10.2%","3.2%","1.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±18.3","±16.2","±19.4","±13.2","(X)","±0.8","±2.0","±3.4","±3.4","±1.6","±3.3","±3.6","±2.1","±3.8","(X)","±8.2","±17.8","(X)","±0.9","±6.5","(X)","±4.1","±4.6","(X)","±2.4","±6.2","","(X)","±1.8","±4.1","(X)","±1.9","±4.3","(X)","±21.3","±28.9","(X)","±100.0","±100.0","(X)","±6.2","±6.9","(X)","**","**","(X)","±61.7","±61.7","(X)","±21.0","±43.7","(X)","±2.4","±15.2","","±20.8","±10.0","±2.0","±1.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","261","74","96","30","61","5,115","23","261","600","897","296","1,743","1,295","4,831","3,038","547","473","333","1,037","1,023","680","2,230","2,034","1,243","1,301","1,301","782","","4,497","4,322","2,669","4,307","4,132","2,569","153","44","0","5","5","0","332","332","332","0","0","0","29","29","29","99","99","8","360","360","135","","(X)","(X)","(X)","(X)","","83,295","-","34,653","59,117","86,574","121,950"
"        Margin of Error","","±124","±89","±61","±46","±61","±495","±45","±221","±215","±263","±122","±276","±264","±417","±342","±203","±178","±152","±223","±221","±175","±372","±311","±266","±193","±193","±163","","±457","±405","±316","±474","±423","±304","±195","±80","±22","±14","±14","±22","±141","±141","±141","±22","±22","±22","±34","±34","±34","±116","±116","±11","±159","±159","±87","","(X)","(X)","(X)","(X)","","±13,885","**","±13,150","±4,260","±17,114","±34,818"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
