"Label (Grouping)","Total civilian noninstitutionalized population","Total civilian noninstitutionalized population!!SEX","Total civilian noninstitutionalized population!!SEX!!Male","Total civilian noninstitutionalized population!!SEX!!Female","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race)","Total civilian noninstitutionalized population!!AGE","Total civilian noninstitutionalized population!!AGE!!Under 5 years","Total civilian noninstitutionalized population!!AGE!!5 to 17 years","Total civilian noninstitutionalized population!!AGE!!18 to 34 years","Total civilian noninstitutionalized population!!AGE!!35 to 64 years","Total civilian noninstitutionalized population!!AGE!!65 to 74 years","Total civilian noninstitutionalized population!!AGE!!75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population under 5 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population 5 to 17 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population under 5 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population 5 to 17 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over!!Population 75 years and over"
"        Estimate","161","","112","49","","111","0","0","0","47","3","0","111","3","","0","0","0","90","69","2","","41","0","0","0","0","0","0","41","39","2","6","0","0","0","3","0","3","3","3","0","68","0","65","0","65","3","3","0","113","0","42","0","42","71","69","2","10","0","7","0","7","3","3","0","10","6","0","6","4","3","1"
"        Margin of Error","±130","","±96","±47","","±116","±14","±14","±14","±70","±6","±14","±116","±6","","±14","±14","±14","±80","±95","±3","","±55","±14","±14","±14","±14","±14","±14","±55","±55","±3","±7","±14","±14","±14","±3","±14","±3","±6","±6","±14","±73","±14","±73","±14","±73","±6","±6","±14","±116","±14","±46","±14","±46","±95","±95","±3","±12","±14","±10","±14","±10","±6","±6","±14","±12","±11","±14","±11","±6","±6","±2"
"    Percent with a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20.6%","","25.7%","14.2%","","15.2%","-","-","-","100.0%","100.0%","-","15.7%","11.5%","","0.0%","0.0%","0.0%","20.5%","56.1%","5.1%","","5.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","25.3%","31.7%","5.1%","0.8%","0.0%","0.0%","0.0%","0.6%","0.0%","0.7%","1.9%","2.4%","0.0%","8.7%","0.0%","12.7%","0.0%","14.8%","1.9%","2.4%","0.0%","14.5%","0.0%","8.2%","0.0%","9.5%","43.8%","56.1%","5.1%","1.3%","0.0%","1.4%","0.0%","1.6%","1.9%","2.4%","0.0%","1.5%","1.2%","0.0%","1.4%","2.5%","2.4%","2.6%"
"        Margin of Error","±16.2","","±21.7","±13.6","","±16.3","**","**","**","±50.9","±100.0","**","±16.7","±27.1","","±100.0","±33.1","±41.4","±16.1","±46.4","±13.1","","±7.1","±32.4","±100.0","±33.1","±8.4","±41.4","±9.7","±24.4","±28.0","±13.1","±0.9","±32.4","±100.0","±33.1","±0.6","±41.4","±0.8","±4.0","±5.6","±55.9","±8.7","±33.1","±12.9","±41.4","±14.6","±4.0","±5.6","±55.9","±15.4","±33.1","±9.6","±41.4","±11.6","±41.2","±46.4","±13.1","±1.5","±33.1","±2.0","±41.4","±2.4","±4.0","±5.6","±55.9","±1.9","±2.2","±41.4","±2.7","±4.2","±5.6","±6.9"
"ZCTA5 78664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,429","","31,160","32,269","","43,233","7,484","10","3,769","0","2,051","6,882","27,439","21,937","","3,494","11,582","17,140","26,271","3,247","1,695","","(X)","15,076","3,494","11,582","43,411","17,140","26,271","4,942","3,247","1,695","(X)","15,076","3,494","11,582","43,411","17,140","26,271","4,942","3,247","1,695","(X)","11,582","43,411","17,140","26,271","4,942","3,247","1,695","(X)","11,582","43,411","17,140","26,271","4,942","3,247","1,695","(X)","11,582","43,411","17,140","26,271","4,942","3,247","1,695","(X)","43,411","17,140","26,271","4,942","3,247","1,695"
"        Margin of Error","±2,222","","±1,508","±1,506","","±2,196","±1,332","±16","±970","±33","±832","±1,428","±2,174","±1,977","","±525","±928","±1,126","±1,441","±579","±434","","(X)","±1,090","±525","±928","±1,587","±1,126","±1,441","±804","±579","±434","(X)","±1,090","±525","±928","±1,587","±1,126","±1,441","±804","±579","±434","(X)","±928","±1,587","±1,126","±1,441","±804","±579","±434","(X)","±928","±1,587","±1,126","±1,441","±804","±579","±434","(X)","±928","±1,587","±1,126","±1,441","±804","±579","±434","(X)","±1,587","±1,126","±1,441","±804","±579","±434"
"    With a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,114","","3,847","3,267","","5,159","864","0","153","0","137","801","3,562","2,124","","0","560","1,435","2,917","1,217","985","","1,764","54","0","54","1,001","252","749","709","301","408","1,334","71","0","71","977","146","831","286","209","77","2,716","407","1,606","665","941","703","337","366","3,428","98","1,637","183","1,454","1,693","894","799","1,634","85","964","410","554","585","300","285","2,717","1,663","586","1,077","1,054","370","684"
"        Margin of Error","±966","","±658","±607","","±849","±265","±33","±126","±33","±131","±303","±845","±571","","±33","±163","±424","±685","±385","±318","","±548","±63","±33","±63","±515","±219","±452","±223","±133","±191","±395","±56","±33","±56","±355","±171","±326","±172","±164","±55","±532","±158","±479","±279","±322","±320","±165","±264","±725","±79","±530","±133","±513","±547","±370","±313","±496","±75","±447","±256","±451","±298","±175","±194","±706","±638","±221","±577","±351","±188","±313"
"    Percent with a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.2%","","12.3%","10.1%","","11.9%","11.5%","0.0%","4.1%","-","6.7%","11.6%","13.0%","9.7%","","0.0%","4.8%","8.4%","11.1%","37.5%","58.1%","","2.8%","0.4%","0.0%","0.5%","2.3%","1.5%","2.9%","14.3%","9.3%","24.1%","2.1%","0.5%","0.0%","0.6%","2.3%","0.9%","3.2%","5.8%","6.4%","4.5%","4.5%","3.5%","3.7%","3.9%","3.6%","14.2%","10.4%","21.6%","5.7%","0.8%","3.8%","1.1%","5.5%","34.3%","27.5%","47.1%","2.7%","0.7%","2.2%","2.4%","2.1%","11.8%","9.2%","16.8%","5.6%","3.8%","3.4%","4.1%","21.3%","11.4%","40.4%"
"        Margin of Error","±1.5","","±2.1","±1.8","","±1.9","±3.7","±100.0","±2.8","**","±5.6","±3.8","±2.8","±2.3","","±1.3","±1.3","±2.4","±2.5","±9.0","±8.8","","±0.8","±0.4","±1.3","±0.5","±1.2","±1.3","±1.7","±4.0","±4.3","±9.9","±0.6","±0.4","±1.3","±0.5","±0.8","±1.0","±1.2","±3.4","±4.8","±3.4","±0.9","±1.3","±1.1","±1.6","±1.2","±5.5","±4.7","±12.9","±1.1","±0.7","±1.2","±0.8","±1.9","±7.9","±9.1","±10.6","±0.8","±0.7","±1.0","±1.5","±1.7","±5.2","±5.0","±10.2","±1.4","±1.4","±1.2","±2.2","±5.5","±5.5","±11.3"
"ZCTA5 78669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,038","","6,612","7,426","","11,915","442","5","1,150","6","148","372","11,207","1,164","","1,149","2,177","1,764","6,523","1,788","637","","(X)","3,326","1,149","2,177","8,287","1,764","6,523","2,425","1,788","637","(X)","3,326","1,149","2,177","8,287","1,764","6,523","2,425","1,788","637","(X)","2,177","8,287","1,764","6,523","2,425","1,788","637","(X)","2,177","8,287","1,764","6,523","2,425","1,788","637","(X)","2,177","8,287","1,764","6,523","2,425","1,788","637","(X)","8,287","1,764","6,523","2,425","1,788","637"
"        Margin of Error","±1,161","","±634","±681","","±978","±461","±14","±418","±19","±128","±191","±980","±347","","±341","±413","±434","±720","±297","±230","","(X)","±391","±341","±413","±841","±434","±720","±374","±297","±230","(X)","±391","±341","±413","±841","±434","±720","±374","±297","±230","(X)","±413","±841","±434","±720","±374","±297","±230","(X)","±413","±841","±434","±720","±374","±297","±230","(X)","±413","±841","±434","±720","±374","±297","±230","(X)","±841","±434","±720","±374","±297","±230"
"    With a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","963","","557","406","","951","0","0","12","0","0","0","915","36","","15","17","107","309","279","236","","437","32","15","17","178","28","150","227","90","137","174","0","0","0","110","0","110","64","33","31","278","0","160","79","81","118","74","44","293","0","61","0","61","232","157","75","128","0","35","0","35","93","38","55","249","86","5","81","163","72","91"
"        Margin of Error","±254","","±164","±158","","±252","±22","±22","±23","±22","±22","±22","±247","±35","","±20","±22","±110","±119","±117","±131","","±150","±41","±20","±22","±79","±39","±75","±111","±60","±102","±104","±22","±22","±22","±76","±22","±76","±59","±39","±45","±142","±22","±123","±101","±70","±75","±56","±40","±133","±22","±54","±22","±54","±100","±82","±45","±73","±22","±41","±22","±41","±61","±37","±42","±145","±70","±7","±70","±103","±60","±66"
"    Percent with a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6.9%","","8.4%","5.5%","","8.0%","0.0%","0.0%","1.0%","0.0%","0.0%","0.0%","8.2%","3.1%","","1.3%","0.8%","6.1%","4.7%","15.6%","37.0%","","3.1%","1.0%","1.3%","0.8%","2.1%","1.6%","2.3%","9.4%","5.0%","21.5%","1.2%","0.0%","0.0%","0.0%","1.3%","0.0%","1.7%","2.6%","1.8%","4.9%","2.2%","0.0%","1.9%","4.5%","1.2%","4.9%","4.1%","6.9%","2.3%","0.0%","0.7%","0.0%","0.9%","9.6%","8.8%","11.8%","1.0%","0.0%","0.4%","0.0%","0.5%","3.8%","2.1%","8.6%","2.3%","1.0%","0.3%","1.2%","6.7%","4.0%","14.3%"
"        Margin of Error","±1.6","","±2.3","±2.0","","±1.8","±9.7","±100.0","±2.0","±100.0","±25.8","±11.4","±1.9","±3.3","","±1.8","±1.0","±5.9","±1.7","±6.3","±13.2","","±1.1","±1.2","±1.8","±1.0","±0.9","±2.3","±1.1","±4.3","±3.2","±12.2","±0.7","±1.3","±3.8","±2.0","±0.9","±2.5","±1.1","±2.3","±2.1","±6.4","±1.0","±2.0","±1.4","±5.4","±1.1","±3.0","±3.1","±5.8","±1.0","±2.0","±0.7","±2.5","±0.8","±4.0","±4.5","±6.6","±0.6","±2.0","±0.5","±2.5","±0.6","±2.5","±2.1","±6.4","±1.3","±0.8","±0.4","±1.1","±4.1","±3.4","±9.5"
"ZCTA5 78701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,884","","6,952","4,932","","9,780","355","2","982","0","203","562","8,383","1,847","","154","97","4,915","5,453","938","327","","(X)","251","154","97","10,368","4,915","5,453","1,265","938","327","(X)","251","154","97","10,368","4,915","5,453","1,265","938","327","(X)","97","10,368","4,915","5,453","1,265","938","327","(X)","97","10,368","4,915","5,453","1,265","938","327","(X)","97","10,368","4,915","5,453","1,265","938","327","(X)","10,368","4,915","5,453","1,265","938","327"
"        Margin of Error","±1,436","","±955","±749","","±1,287","±166","±3","±440","±22","±117","±436","±1,362","±644","","±192","±67","±951","±1,323","±274","±118","","(X)","±201","±192","±67","±1,402","±951","±1,323","±308","±274","±118","(X)","±201","±192","±67","±1,402","±951","±1,323","±308","±274","±118","(X)","±67","±1,402","±951","±1,323","±308","±274","±118","(X)","±67","±1,402","±951","±1,323","±308","±274","±118","(X)","±67","±1,402","±951","±1,323","±308","±274","±118","(X)","±1,402","±951","±1,323","±308","±274","±118"
"    With a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","692","","362","330","","575","74","0","16","0","22","5","471","126","","0","9","210","284","87","102","","183","0","0","0","99","0","99","84","4","80","81","0","0","0","63","0","63","18","13","5","382","9","341","169","172","32","14","18","310","0","168","36","132","142","71","71","136","0","104","24","80","32","14","18","310","230","121","109","80","39","41"
"        Margin of Error","±228","","±137","±162","","±192","±57","±22","±28","±22","±27","±7","±155","±82","","±22","±18","±133","±155","±82","±70","","±95","±22","±22","±22","±78","±22","±78","±52","±7","±52","±59","±22","±22","±22","±58","±22","±58","±26","±24","±9","±179","±18","±156","±117","±111","±38","±23","±31","±143","±22","±105","±47","±103","±98","±72","±71","±83","±22","±66","±31","±71","±38","±23","±31","±134","±106","±90","±71","±79","±53","±36"
"    Percent with a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5.8%","","5.2%","6.7%","","5.9%","20.8%","0.0%","1.6%","-","10.8%","0.9%","5.6%","6.8%","","0.0%","9.3%","4.3%","5.2%","9.3%","31.2%","","1.5%","0.0%","0.0%","0.0%","1.0%","0.0%","1.8%","6.6%","0.4%","24.5%","0.7%","0.0%","0.0%","0.0%","0.6%","0.0%","1.2%","1.4%","1.4%","1.5%","3.3%","9.3%","3.3%","3.4%","3.2%","2.5%","1.5%","5.5%","2.6%","0.0%","1.6%","0.7%","2.4%","11.2%","7.6%","21.7%","1.2%","0.0%","1.0%","0.5%","1.5%","2.5%","1.5%","5.5%","2.7%","2.2%","2.5%","2.0%","6.3%","4.2%","12.5%"
"        Margin of Error","±1.9","","±1.9","±3.1","","±1.9","±14.9","±100.0","±2.8","**","±13.1","±1.7","±1.9","±4.8","","±24.9","±16.4","±2.7","±2.9","±8.1","±19.0","","±0.8","±16.3","±24.9","±35.0","±0.7","±0.9","±1.3","±4.4","±0.8","±14.2","±0.5","±16.3","±24.9","±35.0","±0.6","±0.9","±1.1","±2.0","±2.6","±2.8","±1.5","±16.4","±1.5","±2.4","±2.2","±3.0","±2.4","±9.9","±1.2","±35.0","±1.0","±1.0","±2.0","±7.1","±7.1","±20.2","±0.7","±35.0","±0.7","±0.6","±1.3","±3.0","±2.4","±9.9","±1.1","±1.1","±1.9","±1.4","±6.1","±5.6","±11.4"
"ZCTA5 78702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,245","","12,748","12,497","","16,101","4,208","60","471","7","2,241","2,157","10,525","9,341","","1,507","2,855","9,399","8,970","1,625","889","","(X)","4,362","1,507","2,855","18,369","9,399","8,970","2,514","1,625","889","(X)","4,362","1,507","2,855","18,369","9,399","8,970","2,514","1,625","889","(X)","2,855","18,369","9,399","8,970","2,514","1,625","889","(X)","2,855","18,369","9,399","8,970","2,514","1,625","889","(X)","2,855","18,369","9,399","8,970","2,514","1,625","889","(X)","18,369","9,399","8,970","2,514","1,625","889"
"        Margin of Error","±1,893","","±1,145","±1,181","","±1,358","±667","±69","±156","±9","±718","±1,113","±1,203","±1,506","","±412","±543","±926","±1,204","±395","±206","","(X)","±736","±412","±543","±1,357","±926","±1,204","±409","±395","±206","(X)","±736","±412","±543","±1,357","±926","±1,204","±409","±395","±206","(X)","±543","±1,357","±926","±1,204","±409","±395","±206","(X)","±543","±1,357","±926","±1,204","±409","±395","±206","(X)","±543","±1,357","±926","±1,204","±409","±395","±206","(X)","±1,357","±926","±1,204","±409","±395","±206"
"    With a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,218","","1,287","1,931","","1,572","993","6","18","0","369","260","686","1,348","","0","171","548","1,146","685","668","","590","0","0","0","235","60","175","355","128","227","695","0","0","0","528","138","390","167","76","91","1,644","171","888","340","548","585","294","291","1,675","0","737","75","662","938","473","465","606","0","280","31","249","326","138","188","1,249","498","101","397","751","282","469"
"        Margin of Error","±579","","±304","±472","","±303","±347","±11","±20","±26","±232","±157","±202","±361","","±26","±111","±173","±352","±273","±209","","±218","±26","±26","±26","±133","±46","±111","±160","±96","±129","±271","±26","±26","±26","±253","±106","±231","±119","±75","±94","±402","±111","±253","±134","±209","±248","±218","±147","±398","±26","±245","±64","±231","±310","±235","±181","±188","±26","±135","±39","±127","±130","±94","±106","±281","±176","±57","±165","±190","±136","±187"
"    Percent with a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12.7%","","10.1%","15.5%","","9.8%","23.6%","10.0%","3.8%","0.0%","16.5%","12.1%","6.5%","14.4%","","0.0%","6.0%","5.8%","12.8%","42.2%","75.1%","","2.3%","0.0%","0.0%","0.0%","1.3%","0.6%","2.0%","14.1%","7.9%","25.5%","2.8%","0.0%","0.0%","0.0%","2.9%","1.5%","4.3%","6.6%","4.7%","10.2%","6.9%","6.0%","4.8%","3.6%","6.1%","23.3%","18.1%","32.7%","7.1%","0.0%","4.0%","0.8%","7.4%","37.3%","29.1%","52.3%","2.6%","0.0%","1.5%","0.3%","2.8%","13.0%","8.5%","21.1%","6.0%","2.7%","1.1%","4.4%","29.9%","17.4%","52.8%"
"        Margin of Error","±2.2","","±2.3","±3.3","","±1.9","±6.7","±25.1","±4.3","±100.0","±8.8","±7.2","±1.9","±3.6","","±2.9","±3.9","±2.0","±3.9","±13.2","±12.4","","±0.9","±1.0","±2.9","±1.6","±0.7","±0.5","±1.2","±6.3","±5.8","±12.2","±1.1","±1.0","±2.9","±1.6","±1.4","±1.1","±2.5","±4.7","±4.7","±10.1","±1.6","±3.9","±1.4","±1.5","±2.4","±8.3","±12.1","±13.5","±1.6","±1.6","±1.3","±0.7","±2.7","±9.7","±12.0","±14.1","±0.8","±1.6","±0.7","±0.4","±1.5","±5.5","±6.0","±10.6","±1.3","±1.0","±0.6","±1.9","±7.0","±7.9","±13.5"
"ZCTA5 78703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,268","","10,487","9,781","","17,915","199","9","1,393","0","173","579","16,726","1,618","","1,151","2,472","5,179","8,871","1,842","753","","(X)","3,623","1,151","2,472","14,050","5,179","8,871","2,595","1,842","753","(X)","3,623","1,151","2,472","14,050","5,179","8,871","2,595","1,842","753","(X)","2,472","14,050","5,179","8,871","2,595","1,842","753","(X)","2,472","14,050","5,179","8,871","2,595","1,842","753","(X)","2,472","14,050","5,179","8,871","2,595","1,842","753","(X)","14,050","5,179","8,871","2,595","1,842","753"
"        Margin of Error","±1,596","","±871","±926","","±1,537","±126","±12","±359","±26","±120","±251","±1,550","±425","","±263","±336","±766","±950","±356","±207","","(X)","±421","±263","±336","±1,395","±766","±950","±421","±356","±207","(X)","±421","±263","±336","±1,395","±766","±950","±421","±356","±207","(X)","±336","±1,395","±766","±950","±421","±356","±207","(X)","±336","±1,395","±766","±950","±421","±356","±207","(X)","±336","±1,395","±766","±950","±421","±356","±207","(X)","±1,395","±766","±950","±421","±356","±207"
"    With a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","951","","504","447","","891","1","2","10","0","8","39","811","127","","11","42","63","297","264","274","","335","0","0","0","63","0","63","272","90","182","156","33","11","22","46","19","27","77","20","57","263","32","149","44","105","82","19","63","491","22","130","9","121","339","170","169","174","32","18","9","9","124","34","90","229","73","9","64","156","25","131"
