,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
21,78705,"26,226",47,545,12,116,135,282,"23,549","2,085","25,634","11,841","13,793",7,5,175,162,152,143,279,279,"10,423","10,389","14,800","13,465","4,534","1,619","2,730",164,"25,223","23,740","11,667","10,847","13,556","12,893"
22,78712,887,0,0,0,0,0,0,861,26,887,368,519,0,0,0,0,0,0,19,19,505,505,337,337,26,26,0,0,842,842,350,350,492,492
23,78719,339,34,271,0,90,38,143,34,0,34,8,26,74,0,117,117,85,85,78,78,51,33,85,0,339,0,954,26,136,8,85,8,51,0
24,78721,"2,117",181,"1,385",29,359,616,381,381,170,551,328,223,207,147,437,437,655,655,400,254,252,135,774,218,"2,450",110,"5,564",161,"1,026",310,662,225,364,85
25,78722,"1,229",133,434,21,238,130,45,300,362,662,267,395,179,118,277,269,136,127,18,13,69,58,318,121,"2,059",346,"3,497",177,387,139,178,68,209,71
26,78723,"8,209","1,296","4,831",493,"1,942","1,202","1,194","1,097",985,"2,082","1,047","1,035","1,438",989,"2,783","2,599","1,709","1,528",905,752,611,264,"1,463",524,"8,137",913,"18,987",640,"2,074",615,"1,233",349,841,266
27,78724,"8,623","1,213","6,214",458,"2,003","1,838","1,915","1,087",109,"1,196",479,717,"1,306",933,"2,299","2,257","2,607","2,575","1,422","1,365",594,412,"1,988",729,"4,157",214,"9,541",138,"2,582",827,"1,292",375,"1,290",452
28,78725,"1,885",155,"1,343",95,420,430,398,241,146,387,224,163,187,92,479,479,551,551,315,315,116,84,179,95,"1,379",237,"4,772",32,295,149,157,78,138,71
29,78726,"3,275",164,"2,237",84,563,709,881,677,197,874,410,464,299,115,848,584,945,924,711,711,357,357,726,224,"2,876",264,"6,113",96,"1,083",505,683,205,400,300
30,78727,"5,714",480,"3,360",324,"1,530",775,731,"1,402",472,"1,874",975,899,768,367,"1,778","1,772",995,995,622,622,353,220,"1,229",470,"8,170",879,"16,404",389,"1,582",592,971,310,611,282
31,78728,"4,680",234,"2,930",118,987,778,"1,047","1,162",354,"1,516",593,923,532,180,"1,137","1,117","1,143","1,143",611,611,288,225,"1,082",248,"4,921",532,"10,925",624,"1,370",360,596,153,774,207
32,78729,"5,532",500,"2,998",277,"1,106",773,842,"1,447",587,"2,034","1,115",919,716,346,"1,324","1,303","1,108","1,099",659,659,779,577,"1,513",549,"6,404",586,"14,016",413,"2,292","1,043","1,273",638,"1,019",405
33,78730,"2,507",213,"1,969",279,456,652,582,187,138,325,130,195,135,116,764,713,880,871,351,351,150,150,150,87,"1,325",176,"6,314",43,300,106,144,41,156,65
34,78731,"6,243",506,"3,486",263,"1,331",934,958,"1,072","1,179","2,251","1,284",967,544,449,"1,568","1,545","1,276","1,254",719,678,267,216,"1,580",680,"5,497","1,048","15,450",373,"1,847",830,980,474,867,356
35,78732,"5,975",474,"4,707",172,989,"1,756","1,790",613,181,794,255,539,683,458,"1,097",920,"2,201","2,142","1,577","1,577",131,94,"1,342",394,"1,094",46,"9,845",344,"1,473",404,240,124,"1,233",280
36,78733,"3,010",284,"2,454",80,797,837,740,146,126,272,177,95,323,284,856,795,999,999,562,562,158,158,87,26,303,61,"5,288",125,245,86,160,60,85,26
37,78734,"4,326",270,"3,536",165,"1,316","1,027","1,028",431,89,520,256,264,423,182,"1,357","1,336","1,409","1,382",779,749,239,129,388,234,"1,616",165,"13,196",149,627,285,390,153,237,132
38,78735,"3,972",379,"2,972",288,"1,200",627,857,460,161,621,321,300,505,310,"1,548","1,422",840,840,627,618,282,253,687,195,"3,221",232,"9,793",102,969,287,507,128,462,159
39,78736,"2,445",167,"1,564",99,312,690,463,593,121,714,326,388,202,105,439,423,769,769,215,215,262,262,630,331,"1,420",137,"5,867",203,892,374,273,116,619,258
40,78737,"7,003",777,"5,304",337,"2,222","1,437","1,308",629,293,922,563,359,523,319,"2,778","2,733","1,966","1,941","1,072","1,008",334,218,464,291,"1,127",139,"11,568",354,798,429,588,262,210,167
41,78738,"3,548",305,"2,864",126,845,"1,077",816,301,78,379,118,261,243,187,915,842,"1,366","1,366",699,668,157,157,298,93,"1,550",121,"9,543",114,455,144,202,24,253,120
42,78739,"6,093",671,"4,484",300,"1,795","1,229","1,160",621,317,938,484,454,595,442,"2,258","2,195","1,550","1,515",942,942,146,135,404,358,"1,789",116,"11,935",390,550,432,426,346,124,86
43,78741,"11,778",504,"5,060",457,"1,937","1,497","1,169","4,992","1,222","6,214","3,417","2,797","1,075",435,"2,128","2,050","1,813","1,813","1,024",891,"1,139",893,"7,317","3,282","15,679","1,924","15,878",490,"8,456","3,905","4,619","1,998","3,837","1,907"
44,78742,213,20,189,0,42,51,96,4,0,4,0,4,32,0,74,62,51,51,81,81,16,3,47,0,138,0,413,16,63,0,29,0,34,0
45,78744,"13,028",787,"9,985",877,"2,809","3,318","2,981","1,694",562,"2,256","1,097","1,159","1,347",648,"3,668","3,650","3,957","3,842","2,200","1,999","1,316",633,"3,267",824,"9,776",901,"20,952",531,"4,583",955,"2,417",511,"2,166",444
46,78745,"10,528","1,213","6,018",686,"1,837","2,301","1,194","2,391",906,"3,297","1,393","1,904","1,485",920,"2,616","2,502","2,712","2,614",826,783,643,493,"3,719","1,215","14,758","1,340","34,116",661,"4,362","1,462","1,846",624,"2,516",838
47,78746,"7,739",413,"6,052",368,"1,455","1,922","2,307",910,364,"1,274",556,718,457,368,"1,746","1,694","2,389","2,360","1,657","1,630",667,648,910,391,"2,781",283,"16,408",365,"1,577",634,735,246,842,388
48,78747,"5,185",206,"3,686",262,"1,367",961,"1,096","1,165",128,"1,293",758,535,368,173,"1,558","1,535","1,189","1,169",867,867,335,306,"1,141",495,"3,571",387,"10,300",253,"1,476",653,911,416,565,237
