,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
30,78727,(X),250,458,24,172,99,163,180,84,264,111,153,(X),181,(X),236,(X),145,(X),76,(X),25,(X),82,(X),87,(X),140,(X),37,(X),13,(X),24
31,78728,(X),124,581,4,52,74,451,385,75,460,25,435,(X),70,(X),122,(X),252,(X),261,(X),0,(X),0,(X),84,(X),376,(X),0,(X),0,(X),0
32,78729,(X),310,342,47,109,105,81,135,174,309,182,127,(X),217,(X),236,(X),118,(X),52,(X),40,(X),97,(X),125,(X),76,(X),108,(X),68,(X),40
33,78730,(X),176,418,132,82,38,166,36,0,36,36,0,(X),79,(X),311,(X),76,(X),62,(X),66,(X),22,(X),0,(X),14,(X),22,(X),22,(X),0
34,78731,(X),378,"1,100",51,447,358,244,56,197,253,144,109,(X),321,(X),527,(X),403,(X),199,(X),37,(X),42,(X),151,(X),51,(X),51,(X),30,(X),21
35,78732,(X),454,187,8,92,47,40,154,0,154,144,10,(X),438,(X),70,(X),93,(X),40,(X),10,(X),52,(X),0,(X),92,(X),62,(X),52,(X),10
36,78733,(X),194,332,34,47,139,112,34,32,66,46,20,(X),194,(X),66,(X),154,(X),79,(X),47,(X),4,(X),32,(X),16,(X),18,(X),14,(X),4
37,78734,(X),177,272,0,229,27,16,184,48,232,85,147,(X),97,(X),263,(X),73,(X),16,(X),0,(X),136,(X),21,(X),75,(X),136,(X),75,(X),61
38,78735,(X),235,768,51,198,293,226,101,64,165,105,60,(X),215,(X),261,(X),301,(X),193,(X),53,(X),35,(X),110,(X),0,(X),55,(X),36,(X),19
39,78736,(X),92,217,50,43,88,36,14,121,135,69,66,(X),92,(X),93,(X),88,(X),36,(X),0,(X),0,(X),0,(X),135,(X),0,(X),0,(X),0
40,78737,(X),515,764,55,352,259,98,80,103,183,133,50,(X),150,(X),751,(X),289,(X),70,(X),19,(X),97,(X),0,(X),86,(X),97,(X),72,(X),25
41,78738,(X),206,190,32,35,85,38,67,51,118,0,118,(X),149,(X),124,(X),85,(X),18,(X),20,(X),32,(X),35,(X),51,(X),32,(X),0,(X),32
42,78739,(X),416,250,22,35,54,139,93,132,225,74,151,(X),247,(X),217,(X),75,(X),103,(X),24,(X),77,(X),14,(X),134,(X),77,(X),44,(X),33
43,78741,(X),41,290,78,103,83,26,685,122,807,459,348,(X),41,(X),181,(X),83,(X),0,(X),66,(X),257,(X),415,(X),95,(X),297,(X),132,(X),165
44,78742,(X),7,0,0,0,0,0,0,0,0,0,0,(X),0,(X),7,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0
45,78744,(X),109,383,0,93,122,168,357,163,520,231,289,(X),85,(X),117,(X),176,(X),114,(X),59,(X),181,(X),182,(X),98,(X),240,(X),95,(X),145
46,78745,(X),348,418,62,133,101,122,277,176,453,93,360,(X),261,(X),276,(X),127,(X),10,(X),108,(X),244,(X),141,(X),52,(X),260,(X),35,(X),225
47,78746,(X),323,"1,113",49,255,307,502,201,89,290,155,135,(X),286,(X),298,(X),368,(X),292,(X),214,(X),129,(X),40,(X),99,(X),151,(X),109,(X),42
48,78747,(X),104,150,0,19,99,32,440,52,492,282,210,(X),83,(X),40,(X),131,(X),0,(X),28,(X),292,(X),25,(X),147,(X),320,(X),189,(X),131
49,78748,(X),425,754,129,232,315,78,245,278,523,252,271,(X),421,(X),344,(X),336,(X),138,(X),10,(X),122,(X),169,(X),162,(X),132,(X),58,(X),74
50,78749,(X),416,855,0,424,279,152,229,127,356,152,204,(X),332,(X),423,(X),418,(X),87,(X),41,(X),63,(X),127,(X),136,(X),93,(X),62,(X),31
51,78750,(X),362,419,76,165,101,77,40,13,53,31,22,(X),310,(X),280,(X),114,(X),46,(X),31,(X),6,(X),16,(X),31,(X),6,(X),0,(X),6
52,78751,(X),41,108,0,0,46,62,112,68,180,121,59,(X),27,(X),14,(X),46,(X),47,(X),0,(X),64,(X),131,(X),0,(X),49,(X),19,(X),30
53,78752,(X),243,132,29,87,13,3,100,60,160,90,70,(X),235,(X),95,(X),42,(X),3,(X),15,(X),9,(X),66,(X),70,(X),24,(X),9,(X),15
54,78753,(X),67,"1,178",0,760,244,174,263,172,435,256,179,(X),49,(X),661,(X),361,(X),76,(X),101,(X),28,(X),132,(X),272,(X),31,(X),17,(X),14
55,78754,(X),226,292,99,89,61,43,213,178,391,246,145,(X),178,(X),236,(X),61,(X),43,(X),5,(X),0,(X),323,(X),63,(X),5,(X),5,(X),0
56,78756,(X),59,322,27,168,101,26,210,63,273,97,176,(X),79,(X),164,(X),107,(X),31,(X),125,(X),76,(X),14,(X),58,(X),201,(X),97,(X),104
57,78757,(X),366,628,45,261,195,127,105,79,184,102,82,(X),314,(X),277,(X),276,(X),127,(X),0,(X),65,(X),16,(X),103,(X),65,(X),38,(X),27
58,78758,(X),173,513,39,171,248,55,321,175,496,324,172,(X),135,(X),222,(X),261,(X),38,(X),37,(X),55,(X),350,(X),84,(X),92,(X),47,(X),45
59,78759,(X),546,692,31,163,337,161,188,164,352,158,194,(X),451,(X),279,(X),368,(X),123,(X),47,(X),34,(X),122,(X),166,(X),64,(X),23,(X),41
60,"Travis County, Texas",(X),"10,008","19,881","1,753","6,646","6,653","4,829","11,989","4,332","16,321","7,080","9,241",(X),"8,363",(X),"9,151",(X),"8,151",(X),"3,182",(X),"3,958",(X),"5,264",(X),"4,031",(X),"4,110",(X),"8,197",(X),"3,491",(X),"4,706"
