,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
46,78745,(X),865,"5,600",624,"1,704","2,200","1,072","2,114",730,"2,844","1,300","1,544",(X),659,(X),"2,226",(X),"2,487",(X),773,(X),385,(X),971,(X),"1,199",(X),609,(X),"1,202",(X),589,(X),613
47,78746,(X),90,"4,939",319,"1,200","1,615","1,805",709,275,984,401,583,(X),82,(X),"1,396",(X),"1,992",(X),"1,338",(X),434,(X),262,(X),243,(X),266,(X),483,(X),137,(X),346
48,78747,(X),102,"3,536",262,"1,348",862,"1,064",725,76,801,476,325,(X),90,(X),"1,495",(X),"1,038",(X),867,(X),278,(X),203,(X),362,(X),106,(X),333,(X),227,(X),106
49,78748,(X),685,"5,814",733,"1,809","1,568","1,704","1,950",724,"2,674","1,154","1,520",(X),689,(X),"2,485",(X),"1,809",(X),"1,293",(X),468,(X),667,(X),"1,152",(X),610,(X),"1,008",(X),549,(X),459
50,78749,(X),341,"5,095",304,"1,556","1,896","1,339","1,206",329,"1,535",593,942,(X),197,(X),"1,775",(X),"2,216",(X),979,(X),307,(X),484,(X),589,(X),424,(X),506,(X),179,(X),327
51,78750,(X),376,"5,642",122,"2,019","1,892","1,609",752,459,"1,211",727,484,(X),347,(X),"1,814",(X),"2,565",(X),"1,167",(X),253,(X),377,(X),384,(X),322,(X),511,(X),210,(X),301
52,78751,(X),0,553,5,169,212,167,"1,554","2,400","3,954","1,957","1,997",(X),0,(X),117,(X),276,(X),141,(X),152,(X),"1,589",(X),"1,990",(X),242,(X),"1,737",(X),863,(X),874
53,78752,(X),179,"2,199",184,492,748,775,917,477,"1,394",493,901,(X),113,(X),597,(X),889,(X),642,(X),234,(X),329,(X),823,(X),145,(X),429,(X),138,(X),291
54,78753,(X),873,"9,485",602,"3,013","3,404","2,466","1,785",655,"2,440","1,282","1,158",(X),620,(X),"3,424",(X),"3,964",(X),"1,694",(X),800,(X),872,(X),"1,014",(X),410,(X),"1,051",(X),542,(X),509
55,78754,(X),436,"3,899",348,"1,409",982,"1,160",863,324,"1,187",508,679,(X),258,(X),"1,786",(X),"1,381",(X),807,(X),165,(X),568,(X),387,(X),170,(X),632,(X),340,(X),292
56,78756,(X),0,505,50,114,145,196,507,224,731,386,345,(X),0,(X),155,(X),198,(X),108,(X),272,(X),233,(X),219,(X),51,(X),461,(X),262,(X),199
57,78757,(X),191,"3,468",336,928,"1,066","1,138",538,492,"1,030",367,663,(X),181,(X),989,(X),"1,477",(X),918,(X),106,(X),148,(X),553,(X),317,(X),183,(X),62,(X),121
58,78758,(X),449,"6,487",358,"2,062","2,279","1,788","2,388",731,"3,119","1,374","1,745",(X),308,(X),"2,439",(X),"2,537",(X),"1,241",(X),660,(X),893,(X),"1,168",(X),809,(X),"1,213",(X),657,(X),556
59,78759,(X),92,"4,806",302,"1,508","1,456","1,540","1,446",646,"2,092","1,093",999,(X),45,(X),"1,694",(X),"1,807",(X),"1,068",(X),541,(X),655,(X),682,(X),498,(X),912,(X),457,(X),455
60,"Travis County, Texas",(X),"11,515","170,235","12,132","52,696","55,695","49,712","63,447","20,098","83,545","40,696","42,849",(X),"8,690",(X),"60,467",(X),"67,303",(X),"37,572",(X),"22,324",(X),"32,755",(X),"23,712",(X),"12,472",(X),"48,392",(X),"23,660",(X),"24,732"
