,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
24,78721,586,,88,184,141,127,108,180,229,155,192,121,119,124,91,85,84,93,62,70,,244,108,291,131,348,437,414,404,173,157,158,104,,1.7,(X),(X),(X),(X),,(X),(X)
25,78722,417,,106,68,43,18,108,182,109,115,108,80,42,85,129,64,42,53,46,54,,76,11,141,108,270,352,349,348,164,132,116,97,,2.6,(X),(X),(X),(X),,(X),(X)
26,78723,996,,300,271,206,279,190,436,249,385,268,250,242,211,237,296,308,132,97,123,,339,236,448,215,698,805,797,787,530,483,448,194,,0.9,(X),(X),(X),(X),,(X),(X)
27,78724,"1,082",,304,316,324,288,289,306,276,325,394,226,255,167,123,152,94,137,58,39,,430,269,549,288,861,815,779,695,254,250,197,152,,2.5,(X),(X),(X),(X),,(X),(X)
28,78725,765,,215,149,184,116,94,134,191,186,212,98,114,121,359,326,88,82,60,26,,261,116,332,94,345,693,708,708,671,693,351,110,,8.4,(X),(X),(X),(X),,(X),(X)
29,78726,773,,168,254,275,283,157,501,217,282,253,197,246,144,278,151,101,66,234,82,,278,236,348,200,602,814,789,773,414,401,301,256,,5.0,(X),(X),(X),(X),,(X),(X)
30,78727,"1,079",,299,193,153,163,218,411,305,245,498,266,240,262,362,180,154,86,100,88,,254,123,357,261,789,"1,028","1,017",988,428,320,269,162,,1.9,(X),(X),(X),(X),,(X),(X)
31,78728,"1,506",,285,219,378,358,306,351,351,312,651,290,294,144,144,184,155,69,39,69,,394,321,716,328,"1,138","1,168","1,025",873,318,294,282,127,,1.9,(X),(X),(X),(X),,(X),(X)
32,78729,944,,249,315,187,189,209,319,334,347,395,291,278,269,159,143,195,51,100,168,,322,155,428,262,579,800,799,752,323,304,301,210,,3.0,(X),(X),(X),(X),,(X),(X)
33,78730,902,,509,113,211,157,74,142,277,146,139,233,200,121,126,127,154,59,39,25,,228,119,558,97,360,472,445,442,185,181,150,87,,8.7,(X),(X),(X),(X),,(X),(X)
34,78731,916,,151,200,126,143,366,281,234,250,190,190,191,198,455,121,143,173,82,327,,251,116,294,366,589,858,849,856,591,482,379,360,,2.9,(X),(X),(X),(X),,(X),(X)
35,78732,"1,656",,299,235,395,238,"1,099",107,198,217,209,496,328,112,176,101,121,67,59,106,,455,212,563,"1,112","1,143","1,365","1,351","1,207",259,232,201,135,,6.6,(X),(X),(X),(X),,(X),(X)
36,78733,625,,57,182,231,97,35,74,39,93,210,122,92,151,93,91,161,19,20,57,,365,75,367,53,236,343,345,344,199,206,191,57,,2.0,(X),(X),(X),(X),,(X),(X)
37,78734,703,,214,197,144,197,110,210,135,249,237,228,184,205,233,137,170,84,105,68,,232,192,363,104,348,576,529,534,361,307,271,156,,2.2,(X),(X),(X),(X),,(X),(X)
38,78735,751,,239,289,148,173,112,187,255,267,166,217,194,158,206,183,108,107,111,115,,331,125,431,164,435,557,556,548,325,314,270,197,,2.2,(X),(X),(X),(X),,(X),(X)
39,78736,768,,140,81,157,195,295,308,100,130,130,104,284,163,149,112,134,59,71,55,,182,71,213,442,516,698,697,576,234,213,182,94,,3.0,(X),(X),(X),(X),,(X),(X)
