,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
35,        Margin of Error,"2,571",,377,356,607,519,"1,079",127,439,402,353,926,477,286,279,219,152,122,119,160,,666,507,"1,072","1,091","1,447","2,087","1,731","1,518",405,329,284,155,,3.6,13.6,9.0,3.6,7.5,,(X),(X)
36,        Margin of Error,997,,189,321,269,167,59,121,70,172,232,217,182,219,137,137,225,113,35,57,,517,134,545,89,324,574,579,576,344,342,332,138,,3.2,12.9,11.0,7.8,8.6,,(X),(X)
37,        Margin of Error,"1,183",,245,274,248,268,147,351,308,268,302,382,317,398,318,275,241,170,132,133,,337,231,514,215,585,"1,030",962,932,525,500,439,242,,1.8,8.4,6.5,4.4,4.5,,(X),(X)
38,        Margin of Error,"1,408",,332,449,247,271,267,324,423,364,280,312,304,230,255,290,210,157,128,130,,563,228,676,306,786,"1,016","1,022","1,022",530,522,423,241,,1.9,7.3,5.8,3.9,5.3,,(X),(X)
39,        Margin of Error,"1,265",,171,193,288,232,339,468,236,197,241,184,563,264,211,147,156,77,84,116,,364,86,354,499,751,"1,062","1,060",944,313,274,232,154,,2.5,14.8,7.4,4.4,4.9,,(X),(X)
40,        Margin of Error,"1,969",,332,"1,042",359,338,230,192,252,664,370,372,260,265,293,157,193,145,67,183,,"1,113",276,"1,172",382,"1,004","1,206","1,161","1,066",425,384,326,230,,2.7,9.0,9.7,3.9,9.3,,(X),(X)
41,        Margin of Error,740,,149,215,272,197,126,180,447,344,241,226,240,231,334,444,185,127,94,121,,344,161,394,166,486,722,693,669,615,581,481,190,,1.7,8.6,8.3,5.9,5.3,,(X),(X)
42,        Margin of Error,"1,440",,390,371,352,289,166,201,343,397,431,418,336,258,280,169,196,98,79,120,,516,237,568,196,774,"1,075","1,020",992,383,393,285,175,,1.2,9.3,5.7,2.8,4.1,,(X),(X)
43,        Margin of Error,"2,277",,530,406,373,473,769,903,"1,026",500,687,558,360,511,409,281,205,101,60,176,,489,323,886,878,"1,722","2,136","2,074","1,973",552,520,374,212,,0.6,11.9,2.6,1.0,2.5,,(X),(X)
44,        Margin of Error,371,,66,80,37,84,39,81,52,30,54,66,20,67,56,23,16,16,22,33,,94,79,184,54,205,227,215,206,73,62,48,44,,20.8,21.3,30.5,17.1,26.1,,(X),(X)
45,        Margin of Error,"2,941",,566,781,"1,088",701,451,728,647,"1,032",569,546,511,399,258,287,155,410,141,99,,"1,310",497,"1,522",630,"1,698","2,076","1,967","1,961",540,543,571,450,,1.0,7.3,5.6,1.8,4.6,,(X),(X)
46,        Margin of Error,"3,118",,992,477,479,337,613,"1,049",712,714,897,592,444,694,479,471,527,293,158,180,,583,230,"1,237",661,"1,822","2,494","2,470","2,417",997,946,855,379,,0.9,6.5,3.9,2.0,2.7,,(X),(X)
47,        Margin of Error,"1,028",,188,219,329,433,197,328,270,269,279,318,259,358,296,205,200,184,144,117,,384,292,500,308,683,886,806,734,394,341,300,226,,1.1,4.8,4.3,2.2,3.2,,(X),(X)
48,        Margin of Error,"1,142",,337,335,258,305,370,521,339,369,363,730,249,421,271,292,181,115,76,118,,417,251,559,404,706,"1,072","1,068","1,027",394,394,336,202,,1.5,10.3,7.2,3.1,5.5,,(X),(X)
49,        Margin of Error,"2,931",,895,619,475,448,460,875,"1,685",874,689,652,610,605,434,314,254,258,130,223,,823,389,"1,442",503,"1,952","2,323","2,341","2,338",720,632,585,394,,1.0,9.4,5.1,1.9,4.2,,(X),(X)
50,        Margin of Error,"2,252",,508,372,573,390,376,512,740,583,524,632,808,554,529,608,340,220,126,166,,691,319,818,437,"1,118","1,996","1,956","1,939",901,880,704,305,,2.0,6.0,4.5,2.9,3.4,,(X),(X)
51,        Margin of Error,"2,270",,458,467,786,310,314,488,529,840,604,453,340,574,268,296,211,215,145,152,,"1,014",260,"1,387",358,"1,229","1,538","1,500","1,471",484,470,436,250,,1.3,7.9,6.5,2.7,6.3,,(X),(X)
52,        Margin of Error,"1,355",,134,85,138,132,537,818,472,415,176,205,183,170,136,109,137,61,14,77,,167,105,252,554,"1,243","1,312","1,304","1,308",237,221,178,101,,0.7,13.6,2.2,1.3,1.8,,(X),(X)
53,        Margin of Error,"1,980",,680,255,326,269,604,722,458,502,332,364,429,522,215,208,184,190,197,66,,434,174,958,599,"1,139","1,605","1,556","1,549",409,390,337,276,,1.3,18.6,6.8,2.3,6.4,,(X),(X)
54,        Margin of Error,"3,164",,681,655,858,554,568,863,"1,139",759,983,524,534,542,605,467,283,224,91,132,,"1,232",424,"1,600",679,"1,875","2,332","2,300","2,246",821,775,551,261,,0.7,7.2,3.9,1.4,3.8,,(X),(X)
55,        Margin of Error,"2,497",,554,492,454,338,453,566,547,565,585,353,316,279,302,576,185,192,133,301,,729,295,"1,035",475,"1,408","1,960","1,906","1,900",831,821,778,419,,1.4,11.7,6.2,4.2,5.3,,(X),(X)
56,        Margin of Error,"1,124",,93,120,112,145,146,555,401,449,182,156,125,154,155,155,74,99,31,112,,185,54,209,167,983,"1,063","1,055","1,072",283,224,203,155,,1.7,16.4,4.1,2.7,2.9,,(X),(X)
57,        Margin of Error,"2,406",,370,265,824,431,260,494,521,478,341,534,563,320,519,358,183,129,156,475,,862,426,"1,090",267,944,"1,608","1,615","1,635",911,833,761,512,,1.8,8.5,6.6,5.0,4.9,,(X),(X)
58,        Margin of Error,"3,125",,846,702,658,702,649,944,903,662,640,408,626,549,436,258,230,148,123,183,,"1,146",442,"1,700",771,"1,741","2,140","2,014","1,936",658,585,496,283,,1.0,8.2,4.5,1.4,4.3,,(X),(X)
59,        Margin of Error,"2,097",,457,395,345,313,469,706,832,662,470,519,563,403,326,376,267,426,207,298,,559,226,785,537,"1,278","1,785","1,765","1,711",727,721,661,543,,1.1,5.7,3.7,2.3,2.6,,(X),(X)
60,        Margin of Error,*****,,19,"2,041","2,034",163,143,101,106,"2,433","2,442",146,49,"1,781","1,781","1,397","1,395",964,685,858,,108,105,*****,72,206,907,*****,"1,210","1,780","1,687",22,43,,0.1,0.1,0.1,0.1,0.1,,(X),(X)
