"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"ZCTA5 78726","","","","","","","","","",""
"    Estimate","13,304","9,957","235","43","1,988","0","329","752","0","752"
"    Margin of Error","±1,474","±1,434","±177","±68","±691","±22","±305","±517","±22","±517"
"ZCTA5 78727","","","","","","","","","",""
"    Estimate","31,856","20,200","3,089","250","5,512","0","693","2,112","836","1,276"
"    Margin of Error","±1,925","±1,744","±831","±228","±716","±30","±314","±600","±429","±410"
"ZCTA5 78728","","","","","","","","","",""
"    Estimate","21,857","13,189","3,427","56","1,946","0","990","2,249","1,456","793"
"    Margin of Error","±2,116","±1,658","±1,112","±76","±547","±26","±499","±922","±896","±276"
"ZCTA5 78729","","","","","","","","","",""
"    Estimate","27,707","20,631","1,338","97","3,100","0","798","1,743","588","1,155"
"    Margin of Error","±1,691","±1,400","±545","±72","±729","±26","±373","±641","±389","±486"
"ZCTA5 78730","","","","","","","","","",""
"    Estimate","10,527","8,556","118","22","615","141","100","975","167","808"
"    Margin of Error","±1,430","±927","±106","±38","±285","±230","±116","±615","±192","±590"
"ZCTA5 78731","","","","","","","","","",""
"    Estimate","27,664","23,399","268","53","2,417","0","394","1,133","488","645"
"    Margin of Error","±1,629","±1,632","±174","±86","±530","±26","±161","±372","±319","±183"
"ZCTA5 78732","","","","","","","","","",""
"    Estimate","18,535","15,949","440","0","1,411","0","5","730","325","405"
"    Margin of Error","±2,571","±2,407","±372","±22","±426","±22","±11","±582","±496","±316"
"ZCTA5 78733","","","","","","","","","",""
"    Estimate","8,711","6,666","77","0","1,191","16","126","635","317","318"
"    Margin of Error","±997","±859","±101","±20","±465","±28","±116","±339","±282","±178"
"ZCTA5 78734","","","","","","","","","",""
"    Estimate","19,711","17,478","373","37","453","0","158","1,212","574","638"
"    Margin of Error","±1,183","±1,119","±339","±41","±232","±22","±143","±569","±424","±322"
"ZCTA5 78735","","","","","","","","","",""
"    Estimate","18,211","14,754","707","88","1,658","0","245","759","121","638"
"    Margin of Error","±1,408","±1,245","±532","±139","±563","±22","±147","±284","±92","±268"
"ZCTA5 78736","","","","","","","","","",""
"    Estimate","10,010","9,348","74","15","228","0","76","269","162","107"
"    Margin of Error","±1,265","±1,314","±104","±26","±176","±22","±64","±208","±189","±80"
"ZCTA5 78737","","","","","","","","","",""
"    Estimate","20,609","16,556","319","36","679","0","340","2,679","1,960","719"
"    Margin of Error","±1,969","±1,365","±162","±36","±311","±26","±164","±1,573","±1,564","±414"
"ZCTA5 78738","","","","","","","","","",""
"    Estimate","15,090","12,282","147","19","1,675","0","236","731","230","501"
"    Margin of Error","±740","±727","±117","±27","±502","±22","±202","±313","±192","±240"
"ZCTA5 78739","","","","","","","","","",""
"    Estimate","20,631","16,394","497","13","2,521","0","481","725","181","544"
"    Margin of Error","±1,440","±1,118","±448","±23","±699","±26","±241","±309","±183","±247"
"ZCTA5 78741","","","","","","","","","",""
"    Estimate","47,529","30,863","5,624","523","1,974","57","5,613","2,875","1,145","1,730"
"    Margin of Error","±2,277","±1,787","±1,051","±297","±437","±68","±1,137","±927","±740","±495"
"ZCTA5 78742","","","","","","","","","",""
"    Estimate","888","418","137","0","0","0","192","141","123","18"
"    Margin of Error","±371","±234","±98","±14","±14","±14","±184","±140","±140","±21"
"ZCTA5 78744","","","","","","","","","",""
"    Estimate","48,551","29,321","4,805","345","673","8","9,622","3,777","2,517","1,260"
"    Margin of Error","±2,941","±1,877","±1,040","±299","±251","±13","±2,006","±1,485","±1,312","±545"
"ZCTA5 78745","","","","","","","","","",""
"    Estimate","63,287","52,726","2,416","462","1,540","0","2,798","3,345","1,662","1,683"
"    Margin of Error","±3,118","±2,729","±672","±179","±449","±33","±1,040","±746","±595","±427"
"ZCTA5 78746","","","","","","","","","",""
"    Estimate","27,671","24,188","347","9","2,080","0","492","555","106","449"
"    Margin of Error","±1,028","±1,105","±146","±10","±525","±26","±284","±150","±58","±141"
"ZCTA5 78747","","","","","","","","","",""
"    Estimate","20,137","13,781","832","211","711","24","3,789","789","229","560"
"    Margin of Error","±1,142","±1,390","±289","±177","±329","±39","±1,015","±432","±141","±399"
"ZCTA5 78748","","","","","","","","","",""
"    Estimate","52,076","42,119","2,758","256","2,540","0","995","3,408","1,047","2,361"
"    Margin of Error","±2,931","±3,118","±705","±146","±704","±33","±339","±1,149","±468","±1,011"
"ZCTA5 78749","","","","","","","","","",""
"    Estimate","38,503","28,826","1,362","34","4,253","0","928","3,100","611","2,489"
"    Margin of Error","±2,252","±1,820","±521","±41","±775","±30","±534","±1,122","±458","±1,001"
"ZCTA5 78750","","","","","","","","","",""
"    Estimate","33,860","22,803","2,374","157","5,111","5","830","2,580","589","1,991"
"    Margin of Error","±2,270","±1,862","±902","±109","±1,091","±8","±528","±974","±316","±924"
"ZCTA5 78751","","","","","","","","","",""
"    Estimate","16,138","12,565","514","78","1,202","52","620","1,107","729","378"
"    Margin of Error","±1,355","±1,019","±223","±58","±458","±50","±375","±581","±544","±147"
"ZCTA5 78752","","","","","","","","","",""
"    Estimate","20,779","11,087","2,365","1,023","951","89","2,949","2,315","1,549","766"
"    Margin of Error","±1,980","±1,591","±871","±468","±402","±117","±1,054","±1,038","±1,016","±280"
"ZCTA5 78753","","","","","","","","","",""
"    Estimate","60,035","32,747","9,065","1,318","5,070","0","9,175","2,660","921","1,739"
"    Margin of Error","±3,164","±2,363","±1,447","±622","±912","±33","±1,871","±1,013","±664","±669"
"ZCTA5 78754","","","","","","","","","",""
"    Estimate","26,508","13,611","3,603","145","3,910","95","3,970","1,174","382","792"
"    Margin of Error","±2,497","±1,550","±1,511","±181","±819","±121","±1,941","±522","±193","±512"
"ZCTA5 78756","","","","","","","","","",""
"    Estimate","9,450","7,627","420","23","473","0","75","832","529","303"
"    Margin of Error","±1,124","±694","±145","±27","±222","±20","±60","±473","±377","±161"
"ZCTA5 78757","","","","","","","","","",""
"    Estimate","26,485","20,748","746","0","641","0","2,383","1,967","1,309","658"
"    Margin of Error","±2,406","±1,395","±588","±26","±259","±26","±957","±1,449","±1,370","±244"
"ZCTA5 78758","","","","","","","","","",""
"    Estimate","50,575","30,909","4,799","510","3,541","25","7,479","3,312","2,067","1,245"
"    Margin of Error","±3,125","±2,255","±965","±324","±1,024","±48","±1,498","±1,436","±1,331","±388"
"ZCTA5 78759","","","","","","","","","",""
"    Estimate","45,901","35,064","1,139","21","5,126","14","823","3,714","1,526","2,188"
"    Margin of Error","±2,097","±1,626","±407","±20","±674","±23","±429","±921","±708","±608"
"Travis County, Texas","","","","","","","","","",""
"    Estimate","1,250,884","866,831","103,692","7,729","85,106","704","103,055","83,767","41,276","42,491"
"    Margin of Error","*****","±6,261","±1,808","±1,218","±1,560","±343","±5,152","±5,205","±5,052","±2,750"
