,FosterZipCode,MedFosters
78704,241,18
78705,178,5
78741,123,11
78745,119,8
78702,113,3
78751,94,7
78703,88,3
78748,77,3
78749,72,3
78723,67,8
78759,65,1
78731,62,6
78758,61,4
78746,57,3
78660,57,6
78757,56,3
78613,45,2
78727,42,2
78701,42,2
78735,41,3
78739,38,2
78744,37,2
78752,37,3
78729,36,4
78753,29,3
78756,28,1
78754,27,1
78750,25,1
78721,25,2
78641,24,3
78681,24,1
78728,23,0
78737,22,1
78722,21,1
78726,20,0
78717,20,3
78665,20,0
78664,18,0
78732,17,1
78610,17,1
78734,15,0
78736,14,2
78640,14,1
78747,13,0
78725,13,0
78724,12,1
78626,12,0
78666,11,0
78653,11,1
78730,10,0
78738,10,1
78628,10,0
78733,10,1
78634,9,0
78620,9,1
78612,6,0
78669,6,0
76574,5,0
78676,4,0
78602,4,0
78621,4,0
78619,3,0
78652,3,0
78644,2,0
78713,2,0
78617,2,0
79746,1,0
78648,1,0
78706,1,0
78214,1,0
78691,1,0
78671,1,0
78709,1,0
78742,1,0
48681,1,0
"us, 78757",1,0
76502,1,0
78846,1,0
78667,1,0
77433,1,0
76537,1,0
78645,1,0
75705,1,0
78642,1,0
78767,1,0
79735,1,0
787042344,1,0
