,FosterZipCode
78705,211
78704,140
78741,99
78745,84
78723,59
78751,59
78702,56
78758,53
78757,50
78759,48
78748,47
78749,43
78727,41
78703,37
78744,36
78746,35
78731,34
78756,28
78660,27
78613,27
78722,25
78701,25
78753,25
78735,25
78752,23
78739,23
78729,22
78750,19
78732,17
78728,17
78717,17
78641,15
78726,14
78754,13
78734,13
78736,12
78721,12
78737,12
78733,10
78738,10
78653,9
78664,9
78724,8
78730,8
78665,6
78610,6
78669,6
78640,5
78681,5
78645,4
78747,4
78666,4
78617,3
78620,3
78619,3
78612,2
78634,2
78725,2
79732,1
78626,1
66048,1
77382,1
78651,1
78255,1
78650,1
78372,1
78841,1
78209,1
77080,1
78628,1
76008,1
78130,1
70705,1
78652,1
78676,1
78133,1
43231,1
76574,1
78654,1
76537,1
78621,1
